nearfrontlines,gender,totalscore,hasnotebeeninschool,age
1,1,22,0,9
1,1,28,0,8
1,2,0,1,8
1,2,23,0,8
1,2,20,0,8
1,2,0,1,8
1,2,53,0,8
1,2,34,0,8
1,2,17,0,8
1,1,22,0,8
1,1,30,0,8
1,1,25,0,8
1,1,16,0,8
1,2,24,0,8
1,2,33,0,8
1,2,38,0,8
1,1,38,0,8
1,2,10,0,8
1,2,9,0,8
1,2,15,0,8
1,2,0,1,8
1,2,22,0,9
1,1,21,0,9
1,2,12,0,8
1,2,14,0,8
1,1,14,0,9
1,1,58,0,8
1,2,42,0,8
1,2,45,0,8
1,2,21,0,8
1,2,23,0,8
1,2,22,0,8
1,1,42,0,8
1,2,21,0,9
1,1,14,0,8
1,1,10,0,9
1,1,14,0,8
1,2,13,0,9
1,2,15,0,8
1,2,9,0,8
1,2,6,0,9
1,1,12,0,8
1,2,13,0,8
1,2,2,1,8
1,2,0,1,8
1,1,14,0,8
0,1,30,0,9
1,1,47,0,9
1,1,31,0,8
1,1,16,0,8
1,2,4,0,8
0,1,17,0,8
0,1,19,0,8
0,1,15,0,8
0,2,26,0,8
0,2,16,0,8
0,2,19,0,8
0,1,21,0,8
1,2,19,0,8
1,1,14,0,8
0,1,17,0,9
0,1,13,0,8
0,2,15,0,8
0,2,14,0,8
0,1,13,0,8
0,1,21,0,8
1,1,19,0,8
1,2,6,0,8
1,1,5,0,8
1,2,0,1,8
1,1,1,0,8
1,1,0,1,8
1,1,17,0,8
1,2,3,0,8
1,2,12,0,8
1,2,25,0,8
1,1,20,0,8
1,1,7,0,8
0,2,5,1,8
0,1,22,0,8
0,2,8,0,8
0,1,16,0,8
0,2,12,0,8
1,2,14,0,9
1,1,9,0,8
1,1,5,0,9
1,1,34,0,8
1,1,16,0,9
1,2,19,0,9
1,2,17,0,9
1,2,41,0,8
1,2,39,0,8
1,1,4,1,8
1,2,19,0,8
1,2,36,0,8
1,1,24,0,8
1,2,16,0,8
1,1,8,0,8
1,1,30,0,8
1,2,5,0,8
0,2,21,0,8
0,2,26,0,8
0,1,16,0,8
0,2,27,0,8
0,1,7,1,8
0,1,30,0,8
0,2,9,1,8
0,1,2,1,8
0,1,26,0,8
0,1,6,0,9
1,2,22,0,8
1,2,14,1,8
1,1,11,1,8
1,1,57,0,8
0,2,10,0,8
0,2,3,0,8
0,2,6,0,8
0,1,3,1,8
0,1,3,1,8
0,2,4,0,8
1,2,50,0,8
1,2,8,1,8
1,1,15,1,9
1,1,9,1,8
0,2,16,0,8
0,2,28,0,9
0,2,31,0,8
0,2,3,1,8
0,2,32,0,8
0,1,18,0,8
0,2,5,0,8
0,1,27,0,8
0,1,15,1,8
0,1,2,1,8
0,1,13,1,8
0,1,2,1,8
0,2,9,0,8
0,1,13,0,8
0,2,9,0,9
0,2,28,0,8
0,2,9,0,8
0,2,14,0,9
1,1,17,1,8
1,1,14,1,8
1,2,38,0,8
1,1,40,0,9
1,1,51,0,9
1,2,30,0,8
1,1,15,1,8
1,1,13,1,8
1,1,13,1,8
1,1,10,1,8
0,1,47,0,8
0,1,43,0,8
0,2,8,1,8
0,1,15,1,9
0,1,40,0,8
0,1,13,0,8
0,2,1,0,9
0,2,15,0,9
0,1,0,1,8
0,2,31,0,8
0,1,58,0,9
0,2,32,0,9
0,2,15,0,8
0,1,39,0,9
0,2,8,0,8
0,1,26,0,8
0,2,0,1,9
0,2,2,1,8
0,1,27,0,8
0,2,0,1,8
0,2,20,0,9
0,1,58,0,9
0,2,53,0,9
0,2,1,1,8
0,2,6,0,8
0,1,21,0,8
0,1,9,1,8
0,,10,0,8
0,1,3,1,8
0,2,18,0,8
0,2,32,0,8
0,1,7,0,8
0,2,18,0,8
0,1,25,0,8
0,1,17,0,8
0,2,9,0,8
0,2,21,0,9
1,1,17,0,8
1,1,37,0,8
1,2,11,0,8
1,1,7,0,8
1,2,9,1,9
0,2,12,0,8
1,1,2,1,8
1,1,6,0,9
1,2,1,1,8
1,2,11,0,9
1,1,0,1,8
0,2,0,1,8
1,2,38,0,9
1,2,12,0,8
1,2,3,1,8
1,1,0,1,8
1,2,0,1,9
1,2,7,0,9
0,2,14,0,8
1,1,9,0,8
1,1,3,1,8
1,2,9,0,8
1,1,0,1,9
1,1,11,0,9
1,2,19,0,8
1,1,0,1,8
1,1,51,0,9
1,2,4,1,8
1,2,3,1,8
1,1,1,1,8
1,1,11,0,9
1,1,55,0,9
1,1,19,0,8
1,1,31,0,9
1,1,1,1,8
1,1,3,1,9
1,1,66,0,9
1,1,84,0,9
1,1,33,0,8
1,1,1,1,8
1,1,22,0,8
1,1,34,0,9
1,1,49,0,9
1,2,34,0,9
1,1,80,0,8
1,2,0,1,8
1,1,1,1,8
1,2,0,1,8
1,1,1,1,9
1,1,5,0,8
1,1,1,1,8
1,2,5,1,8
1,2,0,0,8
1,2,9,0,8
1,1,26,0,8
1,2,0,1,8
1,2,63,0,9
1,2,52,0,9
1,2,0,1,9
1,1,0,1,8
1,2,26,0,9
1,2,0,1,8
1,2,0,1,8
1,1,0,1,8
1,2,1,1,8
1,1,15,0,9
1,2,5,1,8
1,2,5,0,8
1,2,2,1,8
1,2,3,1,8
1,1,0,1,8
1,1,12,0,8
1,2,2,1,8
1,1,5,1,8
1,1,3,1,8
1,1,0,0,8
1,2,8,0,9
1,1,42,0,9
1,1,12,0,9
1,1,4,0,8
1,2,12,0,9
1,2,3,1,9
1,1,4,1,8
1,1,7,0,8
,,,,
,,,,
,,,,
,,,,
,,,,
